id,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT,SEASON
thab_sefolosha_uta_18,Thabo Sefolosha,UTA,34.0,38,0.421,21.2,104.6,100.8,3.8,0.066,1.1,0.104,0.591,0.162,0.114,1649,3.1,6.3,0.492,2017-18
thab_sefolosha_uta_19,Thabo Sefolosha,UTA,35.0,50,0.56,12.2,108.3,99.5,8.8,0.059,1.08,0.102,0.599,0.129,0.098,1294,1.4,3.0,0.477,2018-19
thab_sefolosha_hou_20,Thabo Sefolosha,HOU,36.0,41,0.659,10.6,110.7,106.7,3.9,0.074,1.67,0.096,0.487,0.1,0.064,967,0.9,2.2,0.407,2019-20
thad_young_ind_17,Thaddeus Young,IND,29.0,74,0.541,30.2,107.7,105.8,1.9,0.082,1.28,0.101,0.562,0.163,0.097,4565,4.9,9.3,0.527,2016-17
thad_young_ind_18,Thaddeus Young,IND,30.0,81,0.593,32.2,108.7,105.0,3.7,0.085,1.45,0.101,0.528,0.171,0.09,5285,5.2,10.7,0.487,2017-18
thad_young_ind_19,Thaddeus Young,IND,31.0,81,0.58,30.7,109.0,106.5,2.5,0.12,1.66,0.105,0.569,0.179,0.104,5092,5.5,10.4,0.527,2018-19
thad_young_chi_20,Thaddeus Young,CHI,32.0,64,0.344,24.9,101.9,108.1,-6.2,0.113,1.15,0.097,0.521,0.192,0.089,3393,4.2,9.4,0.448,2019-20
thad_young_chi_21,Thaddeus Young,CHI,33.0,68,0.441,24.3,114.2,110.1,4.1,0.253,2.12,0.13,0.578,0.216,0.128,3445,5.4,9.7,0.559,2020-21
thad_young_tot_22,Thaddeus Young,TOT,34.0,52,0.519,16.3,106.1,106.3,-0.2,0.177,2.0,0.119,0.548,0.169,0.109,1764,2.7,5.2,0.518,2021-22
thad_young_tor_23,Thaddeus Young,TOR,35.0,54,0.426,14.7,109.4,115.0,-5.6,0.133,1.79,0.107,0.573,0.131,0.084,1643,2.0,3.7,0.545,2022-23
thad_young_tot_24,Thaddeus Young,TOT,36.0,33,0.364,13.3,114.7,118.7,-3.9,0.178,3.8,0.118,0.598,0.125,0.091,902,2.0,3.3,0.602,2023-24
theo_maledon_okc_21,Theo Maledon,OKC,20.0,65,0.308,27.3,97.2,113.6,-16.5,0.197,1.61,0.055,0.489,0.188,0.063,3829,3.5,9.4,0.368,2020-21
theo_maledon_okc_22,Theo Maledon,OKC,21.0,51,0.275,17.8,101.8,112.3,-10.5,0.188,1.71,0.068,0.5,0.201,0.075,1901,2.3,6.2,0.375,2021-22
theo_maledon_cho_23,Theo Maledon,CHA,22.0,44,0.318,19.4,106.9,115.8,-8.9,0.247,2.58,0.071,0.515,0.166,0.091,1827,2.3,5.8,0.402,2022-23
theo_maledon_tot_24,Theo Maledon,TOT,23.0,17,0.294,12.5,107.8,121.6,-13.8,0.174,1.56,0.053,0.385,0.173,0.029,463,1.2,4.1,0.286,2023-24
theo_pinson_brk_19,Theo Pinson,BKN,23.0,18,0.389,11.7,93.6,94.3,-0.6,0.167,1.17,0.07,0.49,0.191,0.083,456,1.4,4.1,0.342,2018-19
theo_pinson_nyk_20,Theo Pinson,NYK,24.0,33,0.455,11.1,95.1,99.7,-4.6,0.24,1.7,0.064,0.37,0.218,0.051,781,1.4,4.7,0.29,2019-20
thom_bryant_was_19,Thomas Bryant,WAS,21.0,72,0.403,20.8,109.0,112.6,-3.6,0.09,1.53,0.145,0.674,0.17,0.135,3224,4.3,7.0,0.616,2018-19
thom_bryant_was_20,Thomas Bryant,WAS,22.0,46,0.326,24.9,109.4,116.0,-6.6,0.107,1.57,0.139,0.649,0.185,0.13,2493,5.3,9.1,0.581,2019-20
thom_bryant_was_21,Thomas Bryant,WAS,23.0,10,0.2,27.1,113.6,115.7,-2.1,0.079,1.36,0.111,0.704,0.163,0.111,605,5.9,9.1,0.648,2020-21
thom_bryant_was_22,Thomas Bryant,WAS,24.0,27,0.296,16.3,103.7,112.8,-9.1,0.083,1.21,0.124,0.607,0.188,0.106,900,2.9,5.5,0.52,2021-22
thom_bryant_tot_23,Thomas Bryant,TOT,25.0,59,0.559,18.3,111.1,115.8,-4.7,0.042,0.82,0.154,0.682,0.181,0.129,2307,3.9,6.3,0.623,2022-23
thom_bryant_mia_24,Thomas Bryant,MIA,26.0,38,0.579,11.6,112.8,110.7,2.1,0.079,1.1,0.163,0.639,0.187,0.124,905,2.3,3.9,0.577,2023-24
thom_bryant_tot_25,Thomas Bryant,TOT,27.0,66,0.667,14.6,109.9,113.4,-3.5,0.078,1.77,0.128,0.614,0.162,0.11,2071,2.5,4.9,0.508,2024-25
thom_bryant_cle_26,Thomas Bryant,CLE,28.0,60,0.617,12.2,114.4,110.7,3.6,0.067,1.18,0.129,0.625,0.182,0.115,1554,2.3,4.5,0.506,2025-26
thom_robinson_lal_17,Thomas Robinson,LAL,26.0,48,0.313,11.7,103.6,110.9,-7.2,0.088,0.67,0.198,0.535,0.2,0.114,1161,2.2,4.1,0.536,2016-17
thon_maker_mil_18,Thon Maker,MIL,21.0,74,0.541,16.7,105.8,110.8,-5.0,0.055,1.05,0.097,0.499,0.147,0.05,2491,1.8,4.3,0.411,2017-18
thon_maker_tot_19,Thon Maker,TOT,22.0,64,0.688,15.2,104.3,103.4,0.9,0.066,1.36,0.095,0.53,0.148,0.074,2037,1.7,4.2,0.407,2018-19
thon_maker_det_20,Thon Maker,DET,23.0,60,0.333,12.9,103.8,111.9,-8.0,0.088,0.96,0.11,0.582,0.16,0.076,1586,1.6,3.2,0.482,2019-20
