id,player,team,year,season,salary,salary_cap,salary_cap_pct,salary_tier,salary_pct_change,is_max,is_new_team,is_contract_year,is_moved_midseason,age,gp,w_pct,min,off_rating,def_rating,net_rating,ast_pct,ast_to,reb_pct,ts_pct,usg_pct,pie,poss,fgm_pg,fga_pg,fg_pct,total_minutes,analysis_sample
al-f_aminu_por_19,Al-Farouq Aminu,POR,2019,2018-19,6957105.0,101869000.0,6.83,bench,-4.9450508161253515,0,0,1,0,28.0,81,0.642,28.3,116.3,108.2,8.2,0.057,1.44,0.127,0.568,0.134,0.097,4828,3.2,7.3,0.433,2292.3,True
al-f_aminu_orl_20,Al-Farouq Aminu,ORL,2020,2019-20,9258000.0,109140000.0,8.48,starter,33.07259269480625,0,1,0,0,29.0,18,0.389,21.1,94.7,100.1,-5.4,0.088,1.24,0.102,0.395,0.127,0.063,797,1.4,4.8,0.291,379.8,False
alan_anderson_lac_17,Alan Anderson,LAC,2017,2016-17,1315448.0,94143000.0,1.4,bench,,0,0,0,0,34.0,30,0.667,10.3,101.9,112.2,-10.3,0.052,1.57,0.039,0.494,0.137,0.023,618,1.0,2.7,0.375,309.0,False
alan_williams_pho_18,Alan Williams,PHO,2018,2017-18,6000000.0,99030000.0,6.06,bench,,0,0,0,0,25.0,5,0.2,14.1,90.9,90.8,0.1,0.195,1.14,0.148,0.455,0.184,0.089,143,1.4,3.6,0.389,70.5,False
alec_burks_uta_17,Alec Burks,UTA,2017,2016-17,10154495.0,94143000.0,10.79,starter,,0,0,0,0,25.0,42,0.619,15.5,104.4,104.9,-0.5,0.074,0.86,0.091,0.501,0.212,0.087,1313,2.4,5.9,0.399,651.0,True
alec_burks_uta_18,Alec Burks,UTA,2018,2017-18,10845506.0,99030000.0,10.95,starter,6.804976515326455,0,0,0,0,26.0,64,0.578,16.5,104.3,105.3,-1.0,0.104,1.12,0.094,0.527,0.221,0.101,2167,2.7,6.5,0.411,1056.0,True
alec_burks_nyk_21,Alec Burks,NYK,2021,2020-21,6000000.0,109140000.0,5.5,bench,158.61578487304553,0,1,1,0,29.0,49,0.551,25.6,109.6,104.6,5.0,0.135,2.18,0.087,0.564,0.208,0.115,2540,4.3,10.2,0.42,1254.4,True
alec_burks_nyk_22,Alec Burks,NYK,2022,2021-22,9536000.0,112414000.0,8.48,starter,58.93333333333332,0,0,0,0,30.0,81,0.457,28.6,110.3,108.1,2.3,0.158,2.63,0.082,0.559,0.171,0.099,4691,3.5,9.0,0.391,2316.6,True
alec_burks_det_23,Alec Burks,DET,2023,2022-23,10012800.0,123655000.0,8.1,starter,5.000000000000004,0,1,0,0,31.0,51,0.235,22.0,112.9,113.9,-1.0,0.15,1.97,0.069,0.602,0.218,0.109,2422,3.9,9.0,0.436,1122.0,True
alec_burks_mia_25,Alec Burks,MIA,2025,2024-25,2087519.0,140588000.0,1.48,bench,-80.09915535387431,0,1,0,0,33.0,49,0.531,17.6,113.5,107.6,5.9,0.09,1.9,0.07,0.608,0.16,0.088,1766,2.3,5.5,0.424,862.4000000000001,True
alek_pokusevski_okc_21,Aleksej Pokusevski,OKC,2021,2020-21,2964840.0,109140000.0,2.72,bench,,0,0,0,0,19.0,45,0.289,24.2,98.1,114.9,-16.7,0.133,0.98,0.09,0.43,0.197,0.058,2373,3.1,9.1,0.341,1089.0,True
alek_pokusevski_okc_22,Aleksej Pokusevski,OKC,2022,2021-22,3113160.0,112414000.0,2.77,bench,5.002630833367072,0,0,0,0,20.0,61,0.311,20.2,103.6,106.1,-2.5,0.161,1.39,0.121,0.485,0.195,0.095,2595,3.0,7.5,0.408,1232.2,True
alek_pokusevski_okc_23,Aleksej Pokusevski,OKC,2023,2022-23,3261480.0,123655000.0,2.64,bench,4.764290945534433,0,0,1,0,21.0,34,0.471,20.6,105.6,118.3,-12.7,0.13,1.49,0.106,0.522,0.179,0.085,1515,3.2,7.3,0.434,700.4000000000001,True
alek_pokusevski_tot_24,Aleksej Pokusevski,TOT,2024,2023-24,5574809.0,136021000.0,4.1,bench,70.92881145982805,0,1,0,1,22.0,28,0.5,14.5,103.5,113.2,-9.7,0.132,1.84,0.108,0.525,0.172,0.095,829,1.8,4.3,0.405,406.0,False
alex_abrines_okc_17,Alex Abrines,OKC,2017,2016-17,5994764.0,94143000.0,6.37,bench,,0,0,0,0,23.0,68,0.544,15.5,107.2,107.8,-0.6,0.055,1.21,0.04,0.56,0.153,0.052,2222,2.0,5.0,0.393,1054.0,True
alex_abrines_okc_18,Alex Abrines,OKC,2018,2017-18,5725000.0,99030000.0,5.78,bench,-4.499993661134949,0,0,0,0,24.0,75,0.56,15.1,107.7,106.5,1.2,0.036,1.12,0.049,0.567,0.126,0.048,2320,1.5,3.9,0.395,1132.5,True
alex_caruso_lal_20,Alex Caruso,LAL,2020,2019-20,2750000.0,109140000.0,2.52,bench,,0,0,0,0,26.0,64,0.75,18.4,110.8,101.0,9.8,0.138,2.34,0.051,0.525,0.136,0.072,2518,1.9,4.5,0.412,1177.6,True
alex_caruso_lal_21,Alex Caruso,LAL,2021,2020-21,2750000.0,109140000.0,2.52,bench,0.0,0,0,1,0,27.0,58,0.552,21.0,107.2,101.7,5.5,0.19,2.11,0.069,0.547,0.144,0.084,2532,2.3,5.3,0.436,1218.0,True
alex_caruso_chi_22,Alex Caruso,CHI,2022,2021-22,8604651.0,112414000.0,7.65,bench,212.89639999999997,0,1,0,0,28.0,41,0.585,28.0,110.5,105.5,5.1,0.194,2.89,0.064,0.528,0.13,0.077,2372,2.5,6.2,0.398,1148.0,True
alex_caruso_chi_23,Alex Caruso,CHI,2023,2022-23,9030000.0,123655000.0,7.3,bench,4.94324522865599,0,0,0,0,29.0,67,0.493,23.5,112.6,106.5,6.1,0.155,2.51,0.065,0.588,0.109,0.071,3275,1.9,4.3,0.455,1574.5,True
alex_caruso_chi_24,Alex Caruso,CHI,2024,2023-24,9460000.0,136021000.0,6.95,bench,4.761904761904767,0,0,0,0,30.0,71,0.479,28.7,110.9,110.6,0.3,0.167,2.42,0.067,0.613,0.146,0.089,4213,3.6,7.6,0.468,2037.7,True
alex_caruso_okc_25,Alex Caruso,OKC,2025,2024-25,9890000.0,140588000.0,7.03,bench,4.545454545454541,0,1,1,0,31.0,54,0.815,19.3,117.5,102.5,15.0,0.171,3.7,0.072,0.568,0.147,0.101,2221,2.6,5.8,0.446,1042.2,True
alex_caruso_okc_26,Alex Caruso,OKC,2026,2025-26,18102000.0,154647000.0,11.71,starter,83.03336703741154,0,0,0,0,32.0,56,0.839,18.2,116.9,99.3,17.6,0.145,2.29,0.073,0.54,0.152,0.093,2183,2.3,5.4,0.423,1019.1999999999999,True
alex_len_pho_17,Alex Len,PHO,2017,2016-17,4823621.0,94143000.0,5.12,bench,,0,0,0,0,24.0,77,0.273,20.3,100.8,111.9,-11.1,0.043,0.43,0.154,0.553,0.174,0.095,3304,3.0,6.0,0.497,1563.1000000000001,True
alex_len_pho_18,Alex Len,PHO,2018,2017-18,4187599.0,99030000.0,4.23,bench,-13.185571586159028,0,0,0,0,25.0,69,0.29,20.2,101.8,110.4,-8.6,0.093,1.05,0.172,0.612,0.164,0.129,2997,3.1,5.5,0.566,1393.8,True
alex_len_atl_19,Alex Len,ATL,2019,2018-19,4350000.0,101869000.0,4.27,bench,3.878141149618197,0,1,0,0,26.0,77,0.364,20.1,106.0,110.4,-4.4,0.086,0.89,0.124,0.575,0.214,0.1,3447,4.2,8.4,0.494,1547.7,True
alex_len_tot_21,Alex Len,TOT,2021,2020-21,3523372.0,109140000.0,3.23,bench,-15.30355769230769,0,1,0,1,28.0,64,0.469,15.3,106.9,111.0,-4.0,0.069,0.89,0.126,0.643,0.161,0.097,2173,2.7,4.3,0.615,979.2,True
alex_len_sac_22,Alex Len,SAC,2022,2021-22,3732000.0,112414000.0,3.32,bench,5.921259520709143,0,1,0,0,29.0,39,0.436,15.9,106.0,111.4,-5.5,0.104,1.05,0.121,0.577,0.165,0.074,1326,2.4,4.5,0.534,620.1,True
alex_sarr_was_25,Alex Sarr,WAS,2025,2024-25,11245680.0,140588000.0,8.0,bench,,0,0,0,0,20.0,67,0.194,27.1,102.7,116.4,-13.7,0.139,1.41,0.108,0.482,0.23,0.084,3939,4.9,12.4,0.394,1815.7,True
alex_sarr_was_26,Alex Sarr,WAS,2026,2025-26,11808240.0,154647000.0,7.64,bench,5.002454275775237,0,0,0,0,21.0,48,0.229,27.2,108.0,120.4,-12.4,0.161,1.59,0.126,0.544,0.252,0.121,2808,6.6,13.7,0.482,1305.6,True
alex_ajinca_nop_17,Alexis Ajinca,NOP,2017,2016-17,4600000.0,94143000.0,4.89,bench,,0,0,0,0,29.0,39,0.385,15.0,100.2,105.3,-5.1,0.031,0.39,0.14,0.529,0.166,0.088,1225,2.3,4.6,0.5,585.0,True
alfo_mckinnie_gsw_19,Alfonzo McKinnie,GSW,2019,2018-19,1349383.0,101869000.0,1.32,bench,,0,0,1,0,26.0,72,0.736,13.9,108.8,107.9,0.9,0.041,1.03,0.114,0.569,0.131,0.065,2169,1.9,3.8,0.487,1000.8000000000001,True
alfo_mckinnie_cle_20,Alfonzo McKinnie,CLE,2020,2019-20,2391985.0,109140000.0,2.19,bench,77.26509078593698,0,1,0,0,27.0,40,0.275,14.8,105.6,113.0,-7.4,0.032,0.54,0.095,0.493,0.147,0.047,1254,1.8,4.3,0.427,592.0,True
alfo_mckinnie_chi_22,Alfonzo McKinnie,CHI,2022,2021-22,1293926.0,112414000.0,1.15,bench,-26.598086222115324,0,1,0,0,29.0,17,0.471,12.1,108.6,121.5,-12.9,0.034,0.71,0.084,0.457,0.148,0.02,418,1.4,3.6,0.393,205.7,False
alle_crabbe_por_17,Allen Crabbe,POR,2017,2016-17,18500000.0,94143000.0,19.65,star,,0,0,0,0,25.0,79,0.494,28.5,106.8,109.7,-2.9,0.063,1.52,0.05,0.602,0.146,0.074,4669,3.8,8.2,0.468,2251.5,True
alle_crabbe_brk_18,Allen Crabbe,BRK,2018,2017-18,19332500.0,99030000.0,19.52,star,4.499999999999993,0,1,0,0,26.0,75,0.333,29.3,106.9,108.8,-1.9,0.082,1.5,0.07,0.558,0.183,0.084,4627,4.5,11.0,0.407,2197.5,True
alle_crabbe_brk_19,Allen Crabbe,BRK,2019,2018-19,18500000.0,101869000.0,18.16,star,-4.30622009569378,0,0,0,0,27.0,43,0.442,26.4,106.5,106.1,0.3,0.059,1.0,0.06,0.519,0.159,0.055,2421,3.2,8.7,0.367,1135.2,True
allo_trier_nyk_19,Allonzo Trier,NYK,2019,2018-19,3382000.0,101869000.0,3.32,bench,,0,0,0,0,23.0,64,0.203,22.8,102.1,109.3,-7.2,0.131,1.03,0.063,0.564,0.207,0.09,3090,3.6,8.1,0.448,1459.2,True
allo_trier_nyk_20,Allonzo Trier,NYK,2020,2019-20,3551100.0,109140000.0,3.25,bench,5.000000000000004,0,0,0,0,24.0,24,0.083,12.1,100.0,111.1,-11.1,0.164,1.27,0.046,0.62,0.208,0.092,618,2.1,4.4,0.481,290.4,False
alpe_sengun_hou_24,Alperen Sengun,HOU,2024,2023-24,3536280.0,136021000.0,2.6,bench,,0,0,0,0,21.0,63,0.46,32.5,113.9,113.2,0.8,0.248,1.93,0.139,0.585,0.27,0.149,4236,8.4,15.6,0.537,2047.5,True
alpe_sengun_hou_22,Alperen Şengün,HOU,2022,2021-22,3214680.0,112414000.0,2.86,bench,,0,0,0,0,19.0,72,0.25,20.7,106.4,116.6,-10.2,0.193,1.28,0.13,0.552,0.214,0.099,3161,3.5,7.3,0.474,1490.3999999999999,True
alpe_sengun_hou_23,Alperen Şengün,HOU,2023,2022-23,3375360.0,123655000.0,2.73,bench,4.998320206054729,0,0,1,0,20.0,75,0.24,28.9,112.5,120.3,-7.8,0.199,1.51,0.154,0.599,0.211,0.125,4551,5.9,10.7,0.553,2167.5,True
alpe_sengun_hou_25,Alperen Şengün,HOU,2025,2024-25,5424654.0,140588000.0,3.86,bench,60.71334613196815,0,0,1,0,22.0,76,0.684,31.5,114.9,107.4,7.6,0.238,1.92,0.153,0.545,0.259,0.153,4978,7.5,15.0,0.496,2394.0,True
alpe_sengun_hou_26,Alperen Şengün,HOU,2026,2025-26,33944954.0,154647000.0,21.95,star,525.753347586777,0,0,0,0,23.0,72,0.639,33.3,117.1,113.7,3.4,0.282,1.96,0.133,0.569,0.259,0.142,4914,8.1,15.6,0.519,2397.6,True
amen_thompson_hou_24,Amen Thompson,HOU,2024,2023-24,8809320.0,136021000.0,6.48,bench,,0,0,0,0,21.0,62,0.484,22.4,111.4,109.3,2.1,0.165,1.81,0.137,0.576,0.173,0.121,2965,3.9,7.2,0.536,1388.8,True
amen_thompson_hou_25,Amen Thompson,HOU,2025,2024-25,9249960.0,140588000.0,6.58,bench,5.0019751808312085,0,0,0,0,22.0,69,0.623,32.3,114.2,107.9,6.3,0.167,1.92,0.118,0.602,0.172,0.129,4626,5.6,10.1,0.557,2228.7,True
