id,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT
dust_hannahs_mem_19,25.0,2,0.0,13.0,91.2,108.8,-17.5,0.357,5.0,0.016,0.311,0.222,0.041,57,1.5,6.0,0.25
dway_bacon_cho_18,22.0,53,0.472,13.5,104.6,104.7,-0.2,0.077,1.65,0.081,0.431,0.13,0.058,1514,1.4,3.6,0.375
dwig_buycks_det_18,29.0,29,0.345,14.7,101.0,100.5,0.6,0.24,1.51,0.047,0.498,0.266,0.084,865,2.8,6.8,0.414
dwig_howard_was_19,33.0,9,0.444,25.5,104.7,113.6,-8.9,0.026,0.25,0.177,0.638,0.193,0.111,487,4.8,7.7,0.623
dwig_howard_lal_20,34.0,69,0.754,18.9,112.3,106.4,5.9,0.048,0.54,0.191,0.696,0.146,0.114,2707,2.9,4.0,0.729
dyla_cardwell_sac_26,24.0,44,0.295,20.6,108.6,111.1,-2.5,0.095,1.59,0.174,0.591,0.108,0.089,1886,2.4,4.1,0.587
e.j._liddell_brk_26,25.0,26,0.192,13.4,108.1,114.6,-6.5,0.114,1.6,0.102,0.6,0.168,0.087,724,2.1,4.3,0.486
egor_demin_brk_26,20.0,52,0.269,25.2,109.5,115.4,-5.9,0.199,2.01,0.063,0.561,0.182,0.081,2702,3.4,8.6,0.399
elfr_payton_tot_18,24.0,63,0.206,28.7,103.9,115.6,-11.7,0.328,2.34,0.074,0.538,0.211,0.108,3818,5.2,10.6,0.493
elfr_payton_tot_25,31.0,24,0.125,21.3,99.7,113.1,-13.4,0.443,2.81,0.071,0.34,0.151,0.079,1076,1.7,5.1,0.328
elij_bryant_mil_21,26.0,1,0.0,31.6,119.7,105.7,14.0,0.13,0.75,0.098,0.559,0.231,0.072,71,6.0,13.0,0.462
elij_harkless_uta_25,25.0,10,0.1,13.8,113.2,103.5,9.7,0.073,2.67,0.074,0.425,0.12,0.037,287,1.1,3.5,0.314
elij_harkless_uta_26,26.0,26,0.192,21.0,113.5,116.0,-2.5,0.177,2.88,0.047,0.471,0.162,0.055,1177,2.1,6.2,0.335
elij_hughes_tot_22,24.0,36,0.417,12.1,98.2,121.8,-23.7,0.079,1.29,0.065,0.426,0.158,0.037,920,1.3,4.0,0.326
elij_millsap_pho_17,29.0,2,0.5,11.6,86.7,100.0,-13.3,0.067,0.5,0.0,0.19,0.192,-0.036,45,0.5,3.5,0.143
emek_okafor_nop_18,35.0,26,0.615,13.6,103.0,102.7,0.3,0.028,0.62,0.148,0.545,0.133,0.096,773,1.8,3.7,0.505
emma_mudiay_tot_18,22.0,64,0.453,19.4,102.0,111.5,-9.5,0.254,1.82,0.058,0.474,0.231,0.08,2622,3.2,8.2,0.388
enes_freedom_okc_17,25.0,72,0.597,21.3,109.3,108.0,1.3,0.078,0.54,0.156,0.599,0.271,0.154,3149,5.6,10.2,0.545
enes_freedom_nyk_18,26.0,71,0.38,25.8,106.6,111.5,-4.9,0.091,0.86,0.212,0.63,0.212,0.161,3733,5.9,10.0,0.592
enes_freedom_tot_19,27.0,67,0.418,24.5,106.4,112.6,-6.2,0.12,0.98,0.188,0.594,0.219,0.152,3431,5.6,10.2,0.549
enes_freedom_bos_22,30.0,35,0.571,11.8,111.6,103.8,7.8,0.027,0.4,0.182,0.585,0.129,0.105,847,1.5,2.8,0.526
eric_bledsoe_tot_18,28.0,74,0.541,31.4,110.7,107.9,2.7,0.246,1.71,0.063,0.582,0.254,0.125,4763,6.3,13.4,0.473
eric_gordon_tot_23,34.0,69,0.362,28.5,110.6,116.4,-5.8,0.133,1.76,0.033,0.587,0.171,0.078,4198,4.2,9.5,0.446
eric_gordon_phi_26,37.0,6,0.5,12.3,102.6,120.1,-17.6,0.063,1.0,0.013,0.754,0.137,0.083,156,2.0,3.5,0.571
eric_mika_sac_20,25.0,1,0.0,19.0,122.0,102.4,19.5,0.0,0.0,0.189,0.773,0.089,0.077,41,2.0,3.0,0.667
