id,player,team,year,season,salary,salary_cap,salary_cap_pct,salary_tier,salary_pct_change,is_max,is_new_team,is_contract_year,is_moved_midseason
oliv_prosper_dal_24,Olivier-Maxence Prosper,DAL,2024,2023-24,2733720.0,136021000.0,2.01,bench,,0,0,0,0
omar_spellman_nyk_21,Omari Spellman,NYK,2021,2020-21,1988280.0,109140000.0,1.82,bench,4.767625671830533,0,1,0,0
omer_asik_chi_18,Omer Asik,CHI,2018,2017-18,10595505.0,99030000.0,10.7,starter,6.976742072840869,0,1,0,0
omer_yurtseven_mia_23,Omer Yurtseven,MIA,2023,2022-23,1752638.0,123655000.0,1.42,bench,17.700570492221622,0,0,1,0
orla_robinson_mia_24,Orlando Robinson,MIA,2024,2023-24,1801769.0,136021000.0,1.32,bench,,0,0,0,0
osha_brissett_tot_21,Oshae Brissett,TOT,2021,2020-21,1255493.0,109140000.0,1.15,bench,,0,0,1,1
otto_porter_chi_19,Otto Porter,CHI,2019,2018-19,26011913.0,101869000.0,25.53,max,5.000002018306038,1,1,0,0
otto_porter_orl_21,Otto Porter,ORL,2021,2020-21,28489239.0,109140000.0,26.1,max,4.545456213475996,1,1,0,0
otto_porter_uta_24,Otto Porter,UTA,2024,2023-24,6300000.0,136021000.0,4.63,bench,5.000000000000004,0,1,0,0
ousm_dieng_mil_26,Ousmane Dieng,MIL,2026,2025-26,6670882.0,154647000.0,4.31,bench,32.69999840860627,0,1,0,0
p.j._tucker_tor_17,P.J. Tucker,TOR,2017,2016-17,5300000.0,94143000.0,5.63,bench,,0,0,1,0
p.j._tucker_mil_21,P.J. Tucker,MIL,2021,2020-21,7969537.0,109140000.0,7.3,bench,-4.545457267596909,0,1,0,0
p.j._tucker_lac_24,P.J. Tucker,LAC,2024,2023-24,11014500.0,136021000.0,8.1,starter,5.000000000000004,0,1,0,0
p.j._tucker_tot_25,P.J. Tucker,TOT,2025,2024-25,12025777.0,140588000.0,8.55,starter,9.181324617549592,0,1,0,1
p.j._washington_dal_24,P.J. Washington,DAL,2024,2023-24,16847826.0,136021000.0,12.39,starter,190.0579243806636,0,1,0,0
pj_dozier_orl_22,PJ Dozier,ORL,2022,2021-22,1910860.0,112414000.0,1.7,bench,8.399383706339258,0,1,0,0
pabl_prigioni_hou_17,Pablo Prigioni,HOU,2017,2016-17,1050961.0,94143000.0,1.12,bench,,0,0,0,0
paco_dadiet_nyk_25,Pacome Dadiet,NYK,2025,2024-25,1808080.0,140588000.0,1.29,bench,,0,0,0,0
paco_dadiet_nyk_26,Pacôme Dadiet,NYK,2026,2025-26,2847600.0,154647000.0,1.84,bench,,0,0,0,0
pasc_siakam_ind_24,Pascal Siakam,IND,2024,2023-24,37893408.0,136021000.0,27.86,max,6.896551724137923,1,1,0,0
pat_connaughton_tot_26,Pat Connaughton,TOT,2026,2025-26,10739683.0,154647000.0,6.94,bench,13.962566754694915,0,1,0,1
